isi,prime,target,condition,meanRT
50,disown,abandon,strong,856.1
1050,disown,abandon,strong,720.1
50,maroon,abandon,weak,801.1
1050,maroon,abandon,weak,712.7
50,provision,abandon,unrel_strong,894.4
1050,provision,abandon,unrel_strong,789.7
50,cure,abandon,unrel_weak,749.1
1050,cure,abandon,unrel_weak,747.6
50,capability,ability,strong,711.2
1050,capability,ability,strong,644.2
50,means,ability,weak,680.8
1050,means,ability,weak,776.0
50,fuel,ability,unrel_strong,736.0
1050,fuel,ability,unrel_strong,685.2
50,fishing,ability,unrel_weak,785.5
1050,fishing,ability,unrel_weak,712.0
50,normal,abnormal,strong,711.1
1050,normal,abnormal,strong,762.8
50,irregular,abnormal,weak,829.6
1050,irregular,abnormal,weak,792.3
50,egypt,abnormal,unrel_strong,793.8
1050,egypt,abnormal,unrel_strong,833.6
50,socket,abnormal,unrel_weak,813.7
1050,socket,abnormal,unrel_weak,736.2
50,below,above,strong,703.6
1050,below,above,strong,629.7
50,upstairs,above,weak,615.3
1050,upstairs,above,weak,570.2
50,postage,above,unrel_strong,683.0
1050,postage,above,unrel_strong,614.9
50,mildew,above,unrel_weak,692.6
1050,mildew,above,unrel_weak,655.3
50,use,abuse,strong,694.4
1050,use,abuse,strong,627.7
50,torture,abuse,weak,665.4
1050,torture,abuse,weak,570.7
50,disgusting,abuse,unrel_strong,720.1
1050,disgusting,abuse,unrel_strong,620.4
50,heroin,abuse,unrel_weak,740.5
1050,heroin,abuse,unrel_weak,684.0
50,reject,accept,strong,656.0
1050,reject,accept,strong,588.2
50,forgive,accept,weak,651.7
1050,forgive,accept,weak,591.0
50,jock,accept,unrel_strong,642.7
1050,jock,accept,unrel_strong,749.2
50,famous,accept,unrel_weak,623.6
1050,famous,accept,unrel_weak,721.9
50,checking,account,strong,644.9
1050,checking,account,strong,690.6
50,joint,account,weak,665.3
1050,joint,account,weak,680.9
50,now,account,unrel_strong,654.9
1050,now,account,unrel_strong,783.3
50,scalpel,account,unrel_weak,666.2
1050,scalpel,account,unrel_weak,679.7
50,blame,accuse,strong,711.0
1050,blame,accuse,strong,697.5
50,condemn,accuse,weak,741.9
1050,condemn,accuse,weak,770.4
50,sum,accuse,unrel_strong,745.8
1050,sum,accuse,unrel_strong,727.2
50,protein,accuse,unrel_weak,829.8
1050,protein,accuse,unrel_weak,782.1
50,stomach,ache,strong,657.7
1050,stomach,ache,strong,860.8
50,head,ache,weak,677.0
1050,head,ache,weak,778.8
50,reflection,ache,unrel_strong,713.7
1050,reflection,ache,unrel_strong,736.1
50,goo,ache,unrel_weak,700.2
1050,goo,ache,unrel_weak,795.8
