isi,prime,target,condition,meanRT
50,capability,ability,strong,580.5
1050,capability,ability,strong,577.4
50,means,ability,weak,538.0
1050,means,ability,weak,571.0
50,fuel,ability,unrel_strong,639.3
1050,fuel,ability,unrel_strong,592.7
50,fishing,ability,unrel_weak,641.2
1050,fishing,ability,unrel_weak,538.0
50,normal,abnormal,strong,563.6
1050,normal,abnormal,strong,585.5
50,irregular,abnormal,weak,573.1
1050,irregular,abnormal,weak,545.3
50,egypt,abnormal,unrel_strong,538.4
1050,egypt,abnormal,unrel_strong,549.5
50,socket,abnormal,unrel_weak,558.5
1050,socket,abnormal,unrel_weak,549.4
50,below,above,strong,588.4
1050,below,above,strong,457.6
50,upstairs,above,weak,485.8
1050,upstairs,above,weak,499.1
50,postage,above,unrel_strong,551.0
1050,postage,above,unrel_strong,498.9
50,mildew,above,unrel_weak,543.9
1050,mildew,above,unrel_weak,496.9
50,reject,accept,strong,550.0
1050,reject,accept,strong,551.4
50,forgive,accept,weak,608.5
1050,forgive,accept,weak,530.8
50,jock,accept,unrel_strong,520.8
1050,jock,accept,unrel_strong,493.9
50,famous,accept,unrel_weak,575.1
1050,famous,accept,unrel_weak,517.4
50,checking,account,strong,553.2
1050,checking,account,strong,509.4
50,joint,account,weak,601.8
1050,joint,account,weak,499.5
50,now,account,unrel_strong,509.6
1050,now,account,unrel_strong,565.0
50,scalpel,account,unrel_weak,559.8
1050,scalpel,account,unrel_weak,528.7
50,blame,accuse,strong,566.0
1050,blame,accuse,strong,599.1
50,condemn,accuse,weak,737.2
1050,condemn,accuse,weak,629.6
50,sum,accuse,unrel_strong,609.5
1050,sum,accuse,unrel_strong,537.2
50,protein,accuse,unrel_weak,604.3
1050,protein,accuse,unrel_weak,566.1
50,stomach,ache,strong,507.8
1050,stomach,ache,strong,563.8
50,head,ache,weak,584.2
1050,head,ache,weak,595.9
50,reflection,ache,unrel_strong,616.0
1050,reflection,ache,unrel_strong,532.2
50,goo,ache,unrel_weak,558.6
1050,goo,ache,unrel_weak,514.7
50,goal,achieve,strong,605.9
1050,goal,achieve,strong,488.6
50,strive,achieve,weak,581.6
1050,strive,achieve,weak,490.1
50,girl,achieve,unrel_strong,560.0
1050,girl,achieve,unrel_strong,525.4
50,taste,achieve,unrel_weak,572.6
1050,taste,achieve,unrel_weak,612.2
50,perform,act,strong,528.9
1050,perform,act,strong,491.9
50,pretend,act,weak,493.5
1050,pretend,act,weak,498.8
50,frisk,act,unrel_strong,604.9
1050,frisk,act,unrel_strong,486.3
50,ton,act,unrel_weak,537.1
1050,ton,act,unrel_weak,480.2
50,reaction,action,strong,510.8
1050,reaction,action,strong,490.9
50,consequence,action,weak,581.2
1050,consequence,action,weak,469.7
50,dip,action,unrel_strong,500.7
1050,dip,action,unrel_strong,522.8
50,trade,action,unrel_weak,458.7
1050,trade,action,unrel_weak,516.5
50,hyper,active,strong,572.2
1050,hyper,active,strong,490.9
50,passive,active,weak,499.1
1050,passive,active,weak,546.1
50,disperse,active,unrel_strong,527.5
1050,disperse,active,unrel_strong,526.8
50,virtue,active,unrel_weak,466.0
1050,virtue,active,unrel_weak,539.0
50,actress,actor,strong,522.6
1050,actress,actor,strong,523.6
50,comedian,actor,weak,440.2
1050,comedian,actor,weak,521.5
50,coast,actor,unrel_strong,492.4
1050,coast,actor,unrel_strong,507.0
50,wasted,actor,unrel_weak,590.7
1050,wasted,actor,unrel_weak,446.3
50,actor,actress,strong,526.7
1050,actor,actress,strong,548.9
50,bullock,actress,weak,532.3
1050,bullock,actress,weak,566.2
50,four,actress,unrel_strong,548.5
1050,four,actress,unrel_strong,502.9
50,forbidden,actress,unrel_weak,507.9
1050,forbidden,actress,unrel_weak,549.3
50,sum,add,strong,530.4
1050,sum,add,strong,621.8
50,numbers,add,weak,501.4
1050,numbers,add,weak,471.2
50,paradise,add,unrel_strong,503.4
1050,paradise,add,unrel_strong,496.7
50,leaf,add,unrel_weak,545.9
1050,leaf,add,unrel_weak,504.7
50,subtraction,addition,strong,578.2
1050,subtraction,addition,strong,540.6
50,extension,addition,weak,612.2
1050,extension,addition,weak,575.6
50,instructions,addition,unrel_strong,559.5
1050,instructions,addition,unrel_strong,579.7
50,valentine,addition,unrel_weak,607.4
1050,valentine,addition,unrel_weak,518.9
50,adverb,adjective,strong,622.7
1050,adverb,adjective,strong,606.9
50,pronoun,adjective,weak,541.3
1050,pronoun,adjective,weak,547.2
50,ego,adjective,unrel_strong,879.9
1050,ego,adjective,unrel_strong,660.0
50,melt,adjective,unrel_weak,617.8
1050,melt,adjective,unrel_weak,651.5
50,puberty,adolescent,strong,605.5
1050,puberty,adolescent,strong,558.5
50,teenager,adolescent,weak,603.6
1050,teenager,adolescent,weak,578.5
50,adventurous,adolescent,unrel_strong,626.1
1050,adventurous,adolescent,unrel_strong,577.8
50,call,adolescent,unrel_weak,613.6
1050,call,adolescent,unrel_weak,582.4
50,explorer,adventure,strong,614.1
1050,explorer,adventure,strong,590.9
50,conquest,adventure,weak,598.6
1050,conquest,adventure,weak,624.6
50,wary,adventure,unrel_strong,536.8
1050,wary,adventure,unrel_strong,525.4
50,intake,adventure,unrel_weak,601.1
1050,intake,adventure,unrel_weak,532.4
50,suggest,advice,strong,601.2
1050,suggest,advice,strong,558.4
50,advise,advice,weak,622.0
1050,advise,advice,weak,534.3
50,no,advice,unrel_strong,579.9
1050,no,advice,unrel_strong,578.0
50,text,advice,unrel_weak,550.8
1050,text,advice,unrel_weak,579.8
50,continent,africa,strong,510.0
1050,continent,africa,strong,532.8
50,hunger,africa,weak,585.7
1050,hunger,africa,weak,525.6
50,threat,africa,unrel_strong,504.8
1050,threat,africa,unrel_strong,510.7
50,straight,africa,unrel_weak,543.0
1050,straight,africa,unrel_weak,563.3
50,before,after,strong,507.1
1050,before,after,strong,486.0
50,beyond,after,weak,563.7
1050,beyond,after,weak,481.8
50,celsius,after,unrel_strong,531.9
1050,celsius,after,unrel_strong,467.4
50,gauge,after,unrel_weak,552.6
1050,gauge,after,unrel_weak,524.9
50,for,against,strong,616.4
1050,for,against,strong,502.8
50,odds,against,weak,531.2
1050,odds,against,weak,537.7
50,block,against,unrel_strong,525.4
1050,block,against,unrel_strong,618.7
50,latin,against,unrel_weak,496.3
1050,latin,against,unrel_weak,542.9
50,years,age,strong,527.8
1050,years,age,strong,451.1
50,mature,age,weak,517.4
1050,mature,age,weak,512.7
50,rip,age,unrel_strong,529.4
1050,rip,age,unrel_strong,473.5
50,professor,age,unrel_weak,500.3
1050,professor,age,unrel_weak,468.5
50,contract,agreement,strong,529.4
1050,contract,agreement,strong,608.7
50,negotiation,agreement,weak,622.8
1050,negotiation,agreement,weak,543.1
50,pro,agreement,unrel_strong,548.3
1050,pro,agreement,unrel_strong,587.2
50,fancy,agreement,unrel_weak,536.2
1050,fancy,agreement,unrel_weak,568.5
50,fan,air,strong,537.7
1050,fan,air,strong,480.7
50,cool,air,weak,507.9
1050,cool,air,weak,513.7
50,listen,air,unrel_strong,554.3
1050,listen,air,unrel_strong,499.7
50,guest,air,unrel_weak,501.9
1050,guest,air,unrel_weak,475.7
50,flying,airplane,strong,512.7
1050,flying,airplane,strong,540.7
50,fly,airplane,weak,503.2
1050,fly,airplane,weak,628.0
50,essay,airplane,unrel_strong,538.9
1050,essay,airplane,unrel_strong,521.6
50,bedroom,airplane,unrel_weak,545.4
1050,bedroom,airplane,unrel_weak,569.8
50,dead,alive,strong,466.2
1050,dead,alive,strong,578.1
50,disbelief,alive,weak,508.4
1050,disbelief,alive,weak,519.1
50,cuss,alive,unrel_strong,537.1
1050,cuss,alive,unrel_strong,489.9
50,wife,alive,unrel_weak,554.3
1050,wife,alive,unrel_weak,475.9
50,most,all,strong,480.6
1050,most,all,strong,567.4
50,total,all,weak,512.2
1050,total,all,weak,530.1
